statistic,tavg,prcp,Q_1,Q_1007,Q_1005,Q_1006
Q7day_max,4.0,-40.0,0.59,0.07,0.24,0.22
Q7day_max,4.0,-30.0,0.66,0.07,0.27,0.25
Q7day_max,4.0,-20.0,0.75,0.08,0.32,0.3
Q7day_max,4.0,-10.0,0.89,0.1,0.39,0.37
Q7day_max,4.0,0.0,1.1,0.13,0.49,0.46
Q7day_max,4.0,10.000000000000014,1.39,0.19,0.62,0.58
Q7day_max,4.0,20.0,1.76,0.27,0.76,0.72
wetmonth_mean,0.0,-40.0,0.2,0.02,0.11,0.11
wetmonth_mean,0.0,-30.0,0.23,0.02,0.13,0.12
wetmonth_mean,0.0,-20.0,0.27,0.02,0.15,0.14
wetmonth_mean,0.0,-10.0,0.33,0.03,0.18,0.17
wetmonth_mean,0.0,0.0,0.41,0.04,0.22,0.21
wetmonth_mean,0.0,10.000000000000014,0.51,0.05,0.26,0.25
wetmonth_mean,0.0,20.0,0.64,0.08,0.32,0.3
wetmonth_mean,1.0,-40.0,0.2,0.02,0.11,0.1
wetmonth_mean,1.0,-30.0,0.22,0.02,0.12,0.12
wetmonth_mean,1.0,-20.0,0.26,0.02,0.15,0.14
wetmonth_mean,1.0,-10.0,0.32,0.03,0.18,0.17
wetmonth_mean,1.0,0.0,0.4,0.04,0.21,0.21
wetmonth_mean,1.0,10.000000000000014,0.5,0.05,0.26,0.25
wetmonth_mean,1.0,20.0,0.63,0.08,0.31,0.3
wetmonth_mean,2.0,-40.0,0.19,0.02,0.11,0.1
wetmonth_mean,2.0,-30.0,0.22,0.02,0.12,0.12
wetmonth_mean,2.0,-20.0,0.26,0.02,0.15,0.14
wetmonth_mean,2.0,-10.0,0.32,0.03,0.17,0.17
wetmonth_mean,2.0,0.0,0.4,0.04,0.21,0.2
wetmonth_mean,2.0,10.000000000000014,0.5,0.05,0.26,0.25
wetmonth_mean,2.0,20.0,0.62,0.08,0.31,0.29
wetmonth_mean,3.0,-40.0,0.19,0.02,0.11,0.1
wetmonth_mean,3.0,-30.0,0.22,0.02,0.12,0.12
wetmonth_mean,3.0,-20.0,0.26,0.02,0.14,0.14
wetmonth_mean,3.0,-10.0,0.31,0.03,0.17,0.17
wetmonth_mean,3.0,0.0,0.39,0.04,0.21,0.2
wetmonth_mean,3.0,10.000000000000014,0.49,0.05,0.25,0.24
wetmonth_mean,3.0,20.0,0.61,0.07,0.3,0.29
wetmonth_mean,4.0,-40.0,0.19,0.02,0.11,0.1
wetmonth_mean,4.0,-30.0,0.22,0.02,0.12,0.12
wetmonth_mean,4.0,-20.0,0.26,0.02,0.14,0.14
wetmonth_mean,4.0,-10.0,0.31,0.03,0.17,0.16
wetmonth_mean,4.0,0.0,0.39,0.03,0.21,0.2
wetmonth_mean,4.0,10.000000000000014,0.48,0.05,0.25,0.24
wetmonth_mean,4.0,20.0,0.6,0.07,0.3,0.29
returninternval_min_7day,0.0,-40.0,0.0018,0.001,0.0104,0.014
returninternval_min_7day,0.0,-30.0,0.0029,0.001,0.0144,0.0185
returninternval_min_7day,0.0,-20.0,0.0044,0.001,0.0194,0.0242
returninternval_min_7day,0.0,-10.0,0.0068,0.0011,0.0256,0.0311
returninternval_min_7day,0.0,0.0,0.0097,0.0012,0.0319,0.0379
returninternval_min_7day,0.0,10.000000000000014,0.013,0.0014,0.0381,0.0442
returninternval_min_7day,0.0,20.0,0.0166,0.0016,0.0437,0.05
returninternval_min_7day,1.0,-40.0,0.0018,0.001,0.0103,0.0138
